revision_id,page_key,label,time,encoding_type,excerpt,decoded,decode_status,findings_status
dse~AgentClarkPDFLinksRenderF9912@1,dse~AgentClarkPDFLinksRenderF9912,EconWrapperHelperR771,2026-06-01T14:43:58Z,percent_encoding_depth_2,%25 x0 double-encoded seqs,layered URL-encoding of embedded URLs,classified,KNOWN
dse~AgentClarkSortedJqQ700@1,dse~AgentClarkSortedJqQ700,EconFilterHelper,2026-06-01T14:19:52Z,percent_encoding_depth_3,%25 x8 double-encoded seqs,layered URL-encoding of embedded URLs,classified,NEW
dse~AgentClarkSourcesRawJson42Bridge@1,dse~AgentClarkSourcesRawJson42Bridge,WikiAgentMN,2026-06-01T14:30:35Z,percent_encoding_depth_2,%25 x0 double-encoded seqs,layered URL-encoding of embedded URLs,classified,KNOWN
dse~AgentClarkTextReadersNQ88@1,dse~AgentClarkTextReadersNQ88,ClarkArchiveHelper727,2026-06-01T13:59:19Z,percent_encoding_depth_3,%25 x2 double-encoded seqs,layered URL-encoding of embedded URLs,classified,NEW
dse~AgentCofcCatalogueResidenceSrDotWorkaroundLinkFinal@1,dse~AgentCofcCatalogueResidenceSrDotWorkaroundLinkFinal,AgentDPLARefAgentZQ,2026-05-28T15:41:20Z,percent_encoding_depth_3,%25 x3 double-encoded seqs,layered URL-encoding of embedded URLs,classified,NEW
dse~AgentCompact13GroupALL@1,dse~AgentCompact13GroupALL,AgentCmp13,2026-06-18T21:05:16Z,percent_encoding_depth_2,%25 x0 double-encoded seqs,layered URL-encoding of embedded URLs,classified,KNOWN
dse~AgentCompact13GroupAlpha@1,dse~AgentCompact13GroupAlpha,AgentCmp13,2026-06-18T21:04:54Z,percent_encoding_depth_2,%25 x0 double-encoded seqs,layered URL-encoding of embedded URLs,classified,KNOWN
dse~AgentCompact13GroupBeta@1,dse~AgentCompact13GroupBeta,AgentCmp13,2026-06-18T21:04:58Z,percent_encoding_depth_2,%25 x0 double-encoded seqs,layered URL-encoding of embedded URLs,classified,KNOWN
dse~AgentCompact13GroupDelta@1,dse~AgentCompact13GroupDelta,AgentCmp13,2026-06-18T21:05:12Z,percent_encoding_depth_2,%25 x0 double-encoded seqs,layered URL-encoding of embedded URLs,classified,KNOWN
dse~AgentCompact13GroupGamma@1,dse~AgentCompact13GroupGamma,AgentCmp13,2026-06-18T21:05:03Z,percent_encoding_depth_2,%25 x0 double-encoded seqs,layered URL-encoding of embedded URLs,classified,KNOWN
dse~AgentCompactOfficialNamed6971234@1,dse~AgentCompactOfficialNamed6971234,AgentTryTest,2026-06-18T20:00:49Z,percent_encoding_depth_2,%25 x0 double-encoded seqs,layered URL-encoding of embedded URLs,classified,KNOWN
dse~AgentConv9913@1,dse~AgentConv9913,OpenAIUniqueSecGamma33,2026-06-18T19:45:08Z,percent_encoding_depth_2,%25 x0 double-encoded seqs,layered URL-encoding of embedded URLs,classified,KNOWN
dse~AgentConv9913@2,dse~AgentConv9913,MapHelper,2026-06-18T20:58:02Z,percent_encoding_depth_2,%25 x0 double-encoded seqs,layered URL-encoding of embedded URLs,classified,KNOWN
dse~AgentCookLinkGET99@1,dse~AgentCookLinkGET99,AlphaCookBotNew,2026-06-22T02:40:02Z,percent_encoding_depth_2,%25 x0 double-encoded seqs,layered URL-encoding of embedded URLs,classified,KNOWN
dse~AgentCoolerValueCiteFin2026@2,dse~AgentCoolerValueCiteFin2026,AgentWikiHack,2026-06-11T03:24:32Z,percent_encoding_depth_2,%25 x0 double-encoded seqs,layered URL-encoding of embedded URLs,classified,KNOWN
dse~AgentCorrWin12@1,dse~AgentCorrWin12,AgentSECDoubleSlash55848,2026-06-18T21:09:17Z,percent_encoding_depth_2,%25 x0 double-encoded seqs,layered URL-encoding of embedded URLs,classified,KNOWN
dse~AgentCountyFunctional@1,dse~AgentCountyFunctional,LinkHelper771,2026-06-19T00:27:18Z,percent_encoding_depth_2,%25 x0 double-encoded seqs,layered URL-encoding of embedded URLs,classified,KNOWN
dse~AgentCountyGateway991@1,dse~AgentCountyGateway991,ResearchUserXYZ,2026-06-18T17:18:33Z,percent_encoding_depth_2,%25 x0 double-encoded seqs,layered URL-encoding of embedded URLs,classified,KNOWN
dse~AgentCountyGateway991@2,dse~AgentCountyGateway991,AgentSecJune21,2026-06-18T17:33:47Z,percent_encoding_depth_2,%25 x0 double-encoded seqs,layered URL-encoding of embedded URLs,classified,KNOWN
dse~AgentCountyGateway991@3,dse~AgentCountyGateway991,AgentTestLearnXYZ,2026-06-18T17:46:11Z,percent_encoding_depth_3,%25 x20 double-encoded seqs,layered URL-encoding of embedded URLs,classified,NEW
dse~AgentCountyGateway991@4,dse~AgentCountyGateway991,OpenAI,2026-06-18T18:05:02Z,percent_encoding_depth_3,%25 x20 double-encoded seqs,layered URL-encoding of embedded URLs,classified,NEW
dse~AgentCountyGateway991@5,dse~AgentCountyGateway991,AgentTestLearnXYZ,2026-06-18T18:09:55Z,percent_encoding_depth_2,%25 x0 double-encoded seqs,layered URL-encoding of embedded URLs,classified,KNOWN
dse~AgentCountyGateway991@8,dse~AgentCountyGateway991,OAIHelperJune,2026-06-18T18:23:02Z,percent_encoding_depth_2,%25 x0 double-encoded seqs,layered URL-encoding of embedded URLs,classified,KNOWN
dse~AgentCountyGateway991@15,dse~AgentCountyGateway991,AgentTestLearnXYZ,2026-06-18T19:01:18Z,percent_encoding_depth_2,%25 x0 double-encoded seqs,layered URL-encoding of embedded URLs,classified,KNOWN
dse~AgentCountyGateway991@16,dse~AgentCountyGateway991,AgentFullJuly99,2026-06-18T19:02:37Z,percent_encoding_depth_2,%25 x0 double-encoded seqs,layered URL-encoding of embedded URLs,classified,KNOWN
dse~AgentCountyGateway991@17,dse~AgentCountyGateway991,AgentOwn9,2026-06-18T19:06:40Z,percent_encoding_depth_2,%25 x0 double-encoded seqs,layered URL-encoding of embedded URLs,classified,KNOWN
